video_name,board_p1_x,board_p1_y,board_p2_x,board_p2_y,board_frame,cone_start_x,cone_start_y,cone_start_frame,cone_end_x,cone_end_y,cone_end_frame
WC_2017_Duranona_JUMP1.mp4,1551,933,1646,949,75,1714,772,74,1135,675,79
WC_2017_Benard_JUMP1.mp4,806,1012,932,1037,84,1650,935,79,870,793,84
WC_2017_Copello_JUMP1.mp4,851,978,954,997,84,1507,865,79,894,784,84
WC_2017_Claye_JUMP1.mp4,1032,933,1133,956,75,1814,867,70,1083,747,75
WC_2017_Taylor_JUMP1.mp4,1005,907,1109,927,76,1804,837,71,1055,710,76
WC_2017_Claye_JUMP2.mp4,813,943,910,959,83,1435,859,78,855,769,83
WC_2017_Taylor_JUMP2.mp4,778,869,885,889,82,1524,803,77,843,693,82
WAC_2019_Napoles_JUMP1.mp4,1027,844,1126,871,205,1571,841,200,1113,707,205
WAC_2019_Zango_JUMP1.mp4,1064,833,1178,863,172,1684,955,167,1132,783,172
WAC_2019_Taylor_JUMP1.mp4,1127,839,1233,866,102,1779,797,97,1235,683,102
WAC_2019_Taylor_JUMP2.mp4,1302,826,1396,851,67,1809,812,62,1383,696,67
WAC_2019_Claye_JUMP1.mp4,1103,921,1230,957,162,1846,859,157,1247,743,162
WAC_2019_DiazFortun_JUMP1.mp4,1087,750,1154,772,63,1536,727,58,1170,631,63
WAC_2019_Zango_JUMP2.mp4,1180,818,1278,844,57,1775,827,52,1305,687,57
WAIC_2024_Triki_JUMP1.mp4,592,964,717,942,45,557,567,40,1206,483,45
WAIC_2024_Zango_JUMP1.mp4,611,915,726,898,72,235,369,67,941,309,72
WAIC_2024_Zhu_JUMP1.mp4,612,998,737,982,76,732,669,71,1344,605,76
WAIC_2024_Scott_JUMP1.mp4,562,996,680,977,82,472,366,77,1130,287,82
WAIC_2024_Martinez_JUMP1.mp4,605,907,704,889,56,692,627,51,1208,567,56
WAIC_2024_Zango_JUMP2.mp4,693,883,807,862,45,721,569,40,1358,496,45
WAIC_2024_Pereira_JUMP1.mp4,757,893,856,879,74,198,885,69,746,793,74
WAIC_2024_Fang_JUMP1.mp4,579,958,690,935,73,405,375,68,1102,299,73
